country,child mort,exports,health,imports,income,inflation,life_expec,fertility,gdpp
Afghanistan,1.28765970832128,-1.13486664864972,0.27825139923016,-0.0822077141426866,-0.805821873145616,0.156864451046278,-1.61423716642508,1.89717646332677,-0.677143083386239
Albania,-0.537332855003158,-0.478220166803489,-0.0967252787828442,0.0706242898889125,-0.374243349276706,-0.31141089240839,0.64592379817785,-0.857394179243816,-0.484167090978645
Algeria,-0.272014642672023,-0.0988244217367776,-0.963176243511922,-0.639837999122845,-0.220182265636002,0.786907640421651,0.668412962004745,-0.0382892399662305,-0.463980176307791
Angola,2.00178723310041,0.773056184714608,-1.44372887941208,-0.164819608213821,-0.583289196775709,1.38289444118214,-1.17569847180063,2.12176975312869,-0.514720259129126
Antigua and Barbuda,-0.693548251048592,0.160186134991458,-0.286033892925332,0.496075544355256,0.10142673051631,-0.599944184840055,0.702146707745087,-0.540321299523461,-0.0416917450850676
Argentina,-0.589404653684969,-0.810191443736862,0.467560013372648,-1.27594958347058,0.0806777630226125,1.24099282195345,0.589700888610613,-0.381784859663283,-0.145354279881343
Armenia,-0.500138713087578,-0.740878759541982,-0.879443587256591,-0.0656853353284598,-0.541791261788314,-0.00111935169499364,0.308586340774428,-0.83097143926712,-0.531633620069571
Australia,-0.829926771405717,-0.77735911964455,0.696914680506816,-1.0735504429963,1.25818166828995,-0.626432487096076,1.28686496724435,-0.672434999406942,2.1243096398687
Austria,-0.84232481871091,0.371772223586355,1.52331959224421,0.0375795322604585,1.35155202201159,-0.653582996908499,1.11819623854264,-0.996113564121472,1.85151349566797
Azerbaijan,0.0230588831915749,0.48121330389406,-0.340642147004896,-1.08181163240342,-0.059377767559846,0.56932515760433,-0.163686099590363,-0.679040684401116,-0.388688440508391
Bahamas,-0.606761919912239,-0.22285764608551,0.391108457661259,-0.131774850585367,0.298541921706437,-0.773347963537511,0.364809250341665,-0.718674794366161,0.820344070589227
Bahrain,-0.735701611886249,1.0357147774531,-0.671932221754249,0.165627968070717,1.24261994266968,-0.0323377079253048,0.612190052437508,-0.520504244540938,0.422061700056167
Bangladesh,0.275979048217516,-0.91598448803431,-1.19981201119003,-1.03637509066429,-0.762767765596193,-0.0607180317710424,-0.0175065347155459,-0.408207599639979,-0.665958441474009
Barbados,-0.596843482068085,-0.0586960256239523,0.420232859837026,0.0747548845924693,-0.0956884606738167,-0.705802792784656,0.69090212583164,-0.771520274319553,0.165633324507484
Belarus,-0.812569505178447,0.375420259596612,-0.43893700434811,0.727388847754432,-0.0490032838129972,0.692306560935859,-0.0175065347155459,-0.963085139150602,-0.378322187028763
Belgium,-0.837365599788833,1.28742926216082,1.41410308408509,1.14870950751722,1.24261994266968,-0.558319709866306,1.0619733289754,-0.718674794366161,1.71511542356761
Belize,-0.482781446860307,0.623486708294077,-0.588199565498918,0.438247218505461,-0.480581807681906,-0.628324508685792,0.0949392844189281,-0.157191569861364,-0.470527283768609
Benin,1.80341847621732,-0.631437679234277,-0.988660095415719,-0.400263506316555,-0.794928665211424,-0.652447783954669,-0.984540579272023,1.59331495359477,-0.665958441474009
Bhutan,0.109845214327927,0.0507450546837529,-0.588199565498918,0.98348571937495,-0.556315539033903,-0.169509273179703,0.173651357813059,-0.375179174669109,-0.588375218063322
Bolivia,0.206549983308434,0.00332058655041409,-0.719259375289871,-0.5200507527197,-0.608706681955489,0.0944277385856559,0.117428448245822,0.166486994853166,-0.599287063831351
Bosnia and Herzegovina,-0.777854972723906,-0.416203554629123,1.55972509496392,0.182150346884944,-0.385136557210898,-0.603728228019486,0.702146707745087,-1.08198746904573,-0.45579629198177
Botswana,0.352846941509714,0.0908734507965782,0.540371018812067,0.182150346884944,-0.199433298142305,0.107671889713667,-1.51303592920405,-0.0448949249604047,-0.360863233799917
Brazil,-0.457985352249921,-1.10933039657792,0.798850088122001,-1.44943456101996,-0.137186395661212,0.0594253391759131,0.409787577995455,-0.758308904331205,-0.0962509739252127
Brunei,-0.688589032126515,0.959106021237707,-1.44736942968405,-0.780278219043774,3.29158048267231,0.843668288113126,0.735880453485429,-0.731886164354509,1.21862644112229
Bulgaria,-0.681150203743399,0.33164382747353,0.0197723299202252,0.252370456845409,-0.0956884606738167,-0.631162541070366,0.376053832255113,-0.910239659197209,-0.334129211668246
